Building,Sparsity,Method,KL_oridata,MMD_oridata,KL_testdata,MMD_testdata
Bobcat_warehouse_Charlie_start4000_2160,30,ours,1.7086649619212737,0.04985702181112259,4.130651106106639,0.10733419993028503
Cockatoo_industrial_Nathaniel_start4000_2160,30,ours,0.13121419154492103,0.04567338570629243,0.14274149127380098,0.08186450644196497
Fox_lodging_Angla_start4000_2160,30,ours,0.3143472186438093,0.04956924604983827,0.19620889936122318,0.1428016237672523
Fox_lodging_Frances_start4000_2160,90,ours,0.15363335048583995,0.04334259710779419,0.4546614297106081,0.16743433601305416
Cockatoo_assembly_Valencia_start0_2160,70,ours,0.2107605382289363,0.06849926842938207,0.4041056882881205,0.17418912055062027
Panther_other_Lucina_start0_2160,90,ours,0.8857456002101581,0.054175333153145336,3.526506931012965,0.20012706702148497
Panther_other_Lucina_start4000_2160,30,ours,0.4567090632698953,0.046764632129285146,0.3720804650384898,0.10286331316517021
Fox_lodging_Frances_start0_2160,90,ours,0.3532917699427031,0.03956722482736956,1.4066483522659905,0.25220729006536785
Bobcat_warehouse_Charlie_start0_2160,70,ours,0.7758970853791296,0.0606157309930541,1.5454248914888356,0.20349684522068384
Eagle_education_Edith_start8000_2160,70,ours,0.17822332870901791,0.06245419973385716,0.23009894720855056,0.12993926080651033
Fox_lodging_Frances_start0_2160,30,ours,0.7372418519184892,0.05990294831919548,0.47223103605017697,0.24612869781865823
Panther_other_Lucina_start4000_2160,90,ours,0.4294230167588833,0.040034023170361796,1.8159541129361114,0.172047921270987
Panther_other_Lucina_start0_2160,30,ours,1.1300317201943768,0.0673014065108545,2.8166177837404707,0.16329496230911336
Hog_health_Hisako_start4000_2160,50,ours,0.5492849560808815,0.042365543038246876,0.8563086410217601,0.11024330790905712
Rat_public_Alexander_start8000_2160,70,ours,0.4664934382077318,0.06417981550178953,0.7311860328632463,0.16760636416698785
Hog_public_Kevin_start0_2160,70,ours,0.19368777108274335,0.04630966080282238,0.6817563495630763,0.16611856473320685
Cockatoo_assembly_Valencia_start0_2160,50,ours,0.19387485196379647,0.063282845089259,0.3034313488922553,0.1773114644259475
Eagle_education_Edith_start8000_2160,50,ours,0.1838167045096721,0.07173587910206944,0.20983773838221936,0.14537082335476822
Bobcat_warehouse_Charlie_start0_2160,50,ours,4.69044260513422,0.06299528363815957,1.5912035387139294,0.2353653251775648
Cockatoo_assembly_Valencia_start8000_2160,30,ours,0.15084842405289864,0.05500746622456143,0.11520640769253111,0.12672219676236987
Hog_public_Kevin_start4000_2160,30,ours,0.4148833929881333,0.04616953113123491,0.3765833057004799,0.11131212179897923
Hog_public_Kevin_start4000_2160,90,ours,0.19736673476218608,0.03562775229987056,1.557424868892383,0.18490626498346077
Cockatoo_assembly_Valencia_start8000_2160,90,ours,0.1010068568667977,0.04549217645432569,0.2008143453002133,0.20168490572065714
Hog_health_Hisako_start4000_2160,70,ours,0.5461444302430599,0.05369516541104041,0.8417994274598624,0.14806430326434442
Fox_lodging_Frances_start8000_2160,70,ours,0.24679647581923972,0.05245218001883542,0.8284274269191241,0.13583273406618787
Rat_public_Alexander_start0_2160,30,ours,0.28633008909276086,0.05833177480200814,0.27373243461873176,0.1689012355522022
Cockatoo_industrial_Nathaniel_start0_2160,90,ours,0.20244657428024998,0.06810840476037619,0.6114600992491945,0.18462639896915858
Bobcat_warehouse_Charlie_start8000_2160,70,ours,0.9188144419627491,0.07756772718060129,4.542286164439254,0.1823968475412819
